name,pop,cases_day,cases_week,rate_day,rate_week,trend,deaths_day,"New Deaths
Last 7 Days",Death Rate,Trend2,lockdown
Derbyshire Dales,"71,977",3,32,6.35,44.46,▲,,,0.00,➖,No Additional Restrictions
East Lindsey,"140,741",7,36,3.65,25.58,▲,,,0.00,➖,No Additional Restrictions
East Northamptonshire,"93,906",9,65,9.89,69.22,▲,,,0.00,➖,No Additional Restrictions
Erewash,"115,490",15,102,12.62,88.32,▲,,,0.87,➖,No Additional Restrictions
Gedling,"117,786",16,133,16.13,112.92,▲,,,0.00,➖,No Additional Restrictions
Harborough,"92,499",11,64,9.88,69.19,▲,,,0.00,➖,No Additional Restrictions
High Peak,"92,221",23,109,16.88,118.19,▲,,,2.17,➖,No Additional Restrictions
Hinckley and Bosworth,"112,423",13,77,9.78,68.49,▲,,,1.78,➖,No Additional Restrictions
Kettering,"101,266",7,43,6.07,42.46,▲,,,0.00,➖,No Additional Restrictions
Leicester,"355,218",55,535,21.52,150.61,▲,,,1.69,➖,Area of Intervention
Lincoln,"99,039",9,75,10.82,75.73,▲,,,2.02,➖,No Additional Restrictions
Mansfield,"108,841",15,61,8.01,56.05,▲,,,0.00,➖,No Additional Restrictions
Melton,"51,100",3,37,10.34,72.41,▲,,,0.00,➖,No Additional Restrictions
Newark and Sherwood,"121,566",11,129,15.16,106.12,▲,,,0.82,➖,No Additional Restrictions
North East Derbyshire,"101,125",28,108,15.26,106.80,▲,,,0.00,➖,No Additional Restrictions
North Kesteven,"115,985",11,51,6.28,43.97,▲,,,0.86,➖,No Additional Restrictions
North West Leicestershire,"102,126",8,51,7.13,49.94,▲,,,0.00,➖,No Additional Restrictions
Northampton,"225,146",22,108,6.85,47.97,▲,,,0.00,➖,No Additional Restrictions
Nottingham,"331,069",169,"1,344",57.99,405.96,▲,,,0.60,➖,No Additional Restrictions
Oadby and Wigston,"57,056",12,82,20.53,143.72,▲,,,0.00,➖,Area of Intervention
Rushcliffe,"117,671",27,185,22.46,157.22,▲,,,0.00,➖,No Additional Restrictions
Rutland,"39,697",6,23,8.28,57.94,▲,,,0.00,➖,No Additional Restrictions
South Derbyshire,"104,493",9,64,8.75,61.25,▲,,,0.96,➖,No Additional Restrictions
South Holland,"93,980",8,30,4.56,31.92,▲,,,0.00,➖,No Additional Restrictions
South Kesteven,"141,853",17,85,8.56,59.92,▲,,,0.70,➖,No Additional Restrictions
South Northamptonshire,"92,515",4,32,4.94,34.59,▲,,,0.00,➖,No Additional Restrictions
Wellingborough,"79,478",5,39,7.01,49.07,▲,,,0.00,➖,No Additional Restrictions
West Lindsey,"94,869",14,81,12.20,85.38,▲,,,1.05,➖,No Additional Restrictions
East of England,,,,,,,,,,,
Babergh,"91,401",5,21,3.28,22.98,▲,,,1.09,➖,No Additional Restrictions
Basildon,"185,862",11,93,7.15,50.04,▲,,,0.00,➖,No Additional Restrictions
Bedford,"171,623",17,101,8.41,58.85,▲,,,0.00,➖,No Additional Restrictions
Braintree,"151,561",7,41,3.86,27.05,▲,,,0.66,➖,No Additional Restrictions
Breckland,"139,329",3,31,3.18,22.25,▲,,,0.00,➖,No Additional Restrictions
Brentwood,"76,550",9,51,9.52,66.62,▲,,,0.00,➖,No Additional Restrictions
Broadland,"129,464",2,29,3.20,22.40,▲,,,0.00,➖,No Additional Restrictions
Broxbourne,"96,876",10,40,5.90,41.29,▲,,,1.03,➖,No Additional Restrictions
Cambridge,"125,758",6,47,5.34,37.37,▲,,,0.00,➖,No Additional Restrictions
Castle Point,"90,070",4,42,6.66,46.63,▲,,,1.11,➖,No Additional Restrictions
Central Bedfordshire,"283,606",10,84,4.23,29.62,▲,,,0.35,➖,No Additional Restrictions
Chelmsford,"177,079",6,67,5.41,37.84,▲,,,1.13,➖,No Additional Restrictions
Colchester,"192,523",10,42,3.12,21.82,▲,,,0.00,➖,No Additional Restrictions
Dacorum,"154,280",15,87,8.06,56.39,▲,,,0.00,➖,No Additional Restrictions
East Cambridgeshire,"89,362",6,16,2.56,17.90,▲,,,0.00,➖,No Additional Restrictions
East Hertfordshire,"148,105",14,91,8.78,61.44,▲,,,0.00,➖,No Additional Restrictions
East Suffolk,"248,249",12,70,4.03,28.20,▲,,,0.00,➖,No Additional Restrictions
Epping Forest,"131,137",11,89,9.70,67.87,▲,,,1.53,➖,No Additional Restrictions
Fenland,"101,491",10,36,5.07,35.47,▲,,,0.00,➖,No Additional Restrictions
Great Yarmouth,"99,370",10,96,13.80,96.61,▲,,,0.00,➖,No Additional Restrictions
Harlow,"86,594",1,23,3.79,26.56,➖,,,2.31,➖,No Additional Restrictions
Hertsmere,"104,205",20,88,12.06,84.45,▲,,,4.80,➖,No Additional Restrictions
Huntingdonshire,"177,352",11,81,6.52,45.67,▲,,,0.00,➖,No Additional Restrictions
Ipswich,"137,532",2,24,2.49,17.45,▲,,,0.00,➖,No Additional Restrictions
King's Lynn and West Norfolk,"151,811",4,36,3.39,23.71,▲,,,0.00,➖,No Additional Restrictions
Luton,"214,109",14,125,8.34,58.38,▲,,,0.00,➖,Area of Concern
Maldon,"64,425",1,13,2.88,20.18,▲,,,0.00,➖,No Additional Restrictions
Mid Suffolk,"102,493",4,20,2.79,19.51,▲,,,0.00,➖,No Additional Restrictions
North Hertfordshire,"133,214",10,47,5.04,35.28,▲,,,0.00,➖,No Additional Restrictions
North Norfolk,"104,552",3,14,1.91,13.39,▲,,,0.00,➖,No Additional Restrictions
Norwich,"141,137",8,50,5.06,35.43,▲,,,0.00,➖,No Additional Restrictions
Peterborough,"201,041",22,115,8.17,57.20,▲,,,1.49,➖,No Additional Restrictions
Rochford,"86,981",3,19,3.12,21.84,▲,,,-1.15,➖,No Additional Restrictions
South Cambridgeshire,"157,519",14,71,6.44,45.07,▲,,,0.00,➖,No Additional Restrictions
South Norfolk,"138,017",7,45,4.66,32.60,▲,,,0.00,➖,No Additional Restrictions
Southend-On-Sea,"182,463",4,63,4.93,34.53,▲,,,0.00,➖,No Additional Restrictions
St Albans,"147,373",16,96,9.31,65.14,▲,,,0.00,➖,No Additional Restrictions
Stevenage,"87,754",1,17,2.77,19.37,▲,,,0.00,➖,No Additional Restrictions
Tendring,"145,803",5,27,2.65,18.52,▲,,,0.00,➖,No Additional Restrictions
Three Rivers,"93,045",7,49,7.52,52.66,▲,,,0.00,➖,No Additional Restrictions
Thurrock,"172,525",6,64,5.30,37.10,▲,,,0.00,➖,No Additional Restrictions
Uttlesford,"89,179",6,55,8.81,61.67,▲,,,0.00,➖,No Additional Restrictions
Watford,"96,767",8,61,9.01,63.04,▲,,,0.00,➖,No Additional Restrictions
Welwyn Hatfield,"122,746",6,45,5.24,36.66,▲,,,0.00,➖,No Additional Restrictions
West Suffolk,"178,881",8,55,4.39,30.75,▲,,,0.00,➖,No Additional Restrictions
South East,,,,,,,,,,,
Adur,"63,869",1,16,3.58,25.05,▲,,,4.70,➖,No Additional Restrictions
Arun,"159,827",5,46,4.11,28.78,▲,,,0.63,➖,No Additional Restrictions
Ashford,"129,281",4,23,2.54,17.79,▲,,,0.00,➖,No Additional Restrictions
Aylesbury Vale,"199,448",12,58,4.15,29.08,▲,,,0.00,➖,No Additional Restrictions
Basingstoke and Deane,"175,729",8,37,3.01,21.06,▲,,,0.00,➖,No Additional Restrictions
Bracknell Forest,"121,676",8,33,3.87,27.12,▲,,,0.00,➖,No Additional Restrictions
Brighton and Hove,"290,395",28,139,6.84,47.87,▲,,,0.00,➖,No Additional Restrictions
Canterbury,"164,553",6,58,5.04,35.25,▲,,,0.00,➖,No Additional Restrictions
Cherwell,"149,161",10,58,5.55,38.88,▲,,,0.00,➖,No Additional Restrictions
Chichester,"120,750",6,38,4.50,31.47,▲,,,0.83,➖,No Additional Restrictions
Chiltern,"95,927",7,48,7.15,50.04,▲,,,0.00,➖,No Additional Restrictions
Crawley,"112,448",4,28,3.56,24.90,▲,,,0.89,➖,No Additional Restrictions
Dartford,"109,709",4,38,4.95,34.64,▲,,,0.00,➖,No Additional Restrictions
Dover,"116,969",4,17,2.08,14.53,▲,,,0.00,➖,No Additional Restrictions
East Hampshire,"120,681",14,43,5.09,35.63,▲,,,-0.83,➖,No Additional Restrictions
Eastbourne,"103,160",8,34,4.71,32.96,▲,,,0.00,➖,No Additional Restrictions
Eastleigh,"131,819",8,25,2.71,18.97,▲,,,0.00,➖,No Additional Restrictions
Elmbridge,"136,626",23,103,10.77,75.39,▲,,,0.73,➖,No Additional Restrictions
Epsom and Ewell,"79,928",7,36,6.43,45.04,▲,,,0.00,➖,No Additional Restrictions
Fareham,"116,339",1,14,1.72,12.03,▲,,,1.72,➖,No Additional Restrictions
Folkestone and Hythe,"112,578",1,19,2.41,16.88,▲,,,0.89,➖,No Additional Restrictions
Gosport,"85,283",4,16,2.68,18.76,▲,,,1.17,➖,No Additional Restrictions
Gravesham,"106,385",8,42,5.64,39.48,▲,,,0.00,➖,No Additional Restrictions
Guildford,"147,889",16,83,8.02,56.12,▲,,,0.00,➖,No Additional Restrictions
Hart,"96,293",13,39,5.79,40.50,▲,,,0.00,➖,No Additional Restrictions
Hastings,"92,855",6,31,4.77,33.39,▲,,,0.00,➖,No Additional Restrictions
Havant,"125,813",9,37,4.20,29.41,▲,,,0.79,➖,No Additional Restrictions
Horsham,"142,217",10,49,4.92,34.45,▲,,,0.70,➖,No Additional Restrictions
Isle of Wight,"141,538",3,18,1.82,12.72,▲,,,0.00,➖,No Additional Restrictions
Lewes,"102,744",4,25,3.48,24.33,▲,,,0.00,➖,No Additional Restrictions
Maidstone,"169,955",5,39,3.28,22.95,▲,,,0.00,➖,No Additional Restrictions
Medway,"277,855",19,67,3.44,24.11,▲,,,0.00,➖,No Additional Restrictions
Mid Sussex,"149,716",9,44,4.20,29.39,▲,,,0.00,➖,No Additional Restrictions
Milton Keynes,"268,607",18,97,5.16,36.11,▲,,,0.00,➖,No Additional Restrictions
Mole Valley,"87,253",4,34,5.57,38.97,▲,,,0.00,➖,No Additional Restrictions
New Forest,"179,753",3,48,3.81,26.70,▲,,,0.00,➖,No Additional Restrictions
Oxford,"154,327",22,178,16.48,115.34,▲,,,0.00,➖,No Additional Restrictions
Portsmouth,"215,133",36,94,6.24,43.69,▲,,,1.39,➖,No Additional Restrictions
Reading,"163,203",6,55,4.81,33.70,▲,,,0.61,➖,No Additional Restrictions
Reigate and Banstead,"147,757",6,38,3.67,25.72,▲,,,1.35,➖,No Additional Restrictions
Rother,"95,656",4,20,2.99,20.91,▲,,,0.00,➖,No Additional Restrictions
Runnymede,"88,000",7,45,7.31,51.14,▲,,,0.00,➖,No Additional Restrictions
Rushmoor,"95,142",17,48,7.21,50.45,▲,,,0.00,➖,No Additional Restrictions
Sevenoaks,"120,293",13,46,5.46,38.24,▲,,,0.00,➖,No Additional Restrictions
Slough,"149,112",19,125,11.98,83.83,▲,,,0.00,➖,No Additional Restrictions
South Bucks,"70,043",9,46,9.38,65.67,▲,,,1.43,➖,No Additional Restrictions
South Oxfordshire,"140,504",13,52,5.29,37.01,▲,,,0.00,➖,No Additional Restrictions
Southampton,"252,796",8,98,5.54,38.77,▲,,,0.00,➖,No Additional Restrictions
Spelthorne,"99,334",9,55,7.91,55.37,▲,,,2.01,➖,No Additional Restrictions
Surrey Heath,"88,874",6,42,6.75,47.26,▲,,,0.00,➖,No Additional Restrictions
Swale,"148,519",13,47,4.52,31.65,▲,,,-0.67,➖,No Additional Restrictions
Tandridge,"87,496",13,45,7.35,51.43,▲,,,0.00,➖,No Additional Restrictions
Test Valley,"125,169",14,47,5.36,37.55,▲,,,1.60,➖,No Additional Restrictions
Thanet,"141,819",5,30,3.02,21.15,▲,,,0.00,➖,No Additional Restrictions
Tonbridge and Malling,"130,508",8,32,3.50,24.52,▲,,,0.00,➖,No Additional Restrictions
Tunbridge Wells,"118,054",7,42,5.08,35.58,▲,,,0.00,➖,No Additional Restrictions
Vale of White Horse,"133,732",12,64,6.84,47.86,▲,,,0.00,➖,No Additional Restrictions
Waverley,"125,610",16,64,7.28,50.95,▲,,,0.00,➖,No Additional Restrictions
Wealden,"160,175",9,44,3.92,27.47,▲,,,0.00,➖,No Additional Restrictions
West Berkshire,"158,527",12,63,5.68,39.74,▲,,,0.63,➖,No Additional Restrictions
West Oxfordshire,"109,800",6,37,4.81,33.70,▲,,,0.00,➖,No Additional Restrictions
Winchester,"124,295",8,55,6.32,44.25,▲,,,0.00,➖,No Additional Restrictions
Windsor and Maidenhead,"150,906",16,99,9.37,65.60,▲,,,1.33,➖,No Additional Restrictions
Woking,"101,167",13,57,8.05,56.34,▲,,,0.99,➖,No Additional Restrictions
Wokingham,"167,979",14,68,5.78,40.48,▲,,,0.60,➖,No Additional Restrictions
Worthing,"110,025",6,25,3.25,22.72,▲,,,2.73,➖,No Additional Restrictions
Wycombe,"174,641",13,70,5.73,40.08,▲,,,0.00,➖,No Additional Restrictions
Yorkshire and The Humber,,,,,,,,,,,
Barnsley,"245,199",72,352,20.51,143.56,▲,,,0.00,➖,No Additional Restrictions
Bradford,"537,173",326,"1,601",42.58,298.04,▲,,,3.16,➖,Area of Intervention
Calderdale,"210,082",69,315,21.42,149.94,▲,,,1.43,➖,Area of Intervention
Craven,"56,832",13,94,23.63,165.40,▲,,,0.00,➖,No Additional Restrictions
Doncaster,"310,542",75,395,18.17,127.20,▲,,,1.29,➖,No Additional Restrictions
East Riding of Yorkshire,"339,614",62,344,14.47,101.29,▲,,,0.29,➖,No Additional Restrictions
Hambleton,"91,134",15,103,16.15,113.02,▲,,,2.19,➖,No Additional Restrictions
Harrogate,"160,533",35,194,17.26,120.85,▲,,,0.62,➖,No Additional Restrictions
"Kingston upon Hull, City of","260,645",27,214,11.73,82.10,▲,,,0.38,➖,No Additional Restrictions
Kirklees,"438,727",173,844,27.48,192.37,▲,,,1.60,➖,Area of Intervention
